"","median","mean","sd","ci","fr0","mcerr","mcpersd","ssef","ac10","psrf"
"beta[1]","-3.1183","-3.1195","0.444","-4.011 - -2.252","0","0.0077","1.7","3310","0","1"
"beta[2]","1.096","1.1014","0.2147","0.6932 - 1.5299","1","0.0049","2.3","1924","0.05","1.01"
"beta[3]","-1.1226","-1.1244","0.1703","-1.4634 - -0.7948","0","0.004","2.3","1841","0.06","1"
"beta[4]","-0.2967","-0.3029","0.2644","-0.8173 - 0.2122","0.128","0.0042","1.6","3926","-0.01","1"
"beta[5]","0.0637","0.0695","0.2904","-0.5069 - 0.6332","0.593","0.0048","1.7","3632","0.01","1"
"beta[6]","0.2768","0.2772","0.1303","0.0236 - 0.5369","0.983","0.0021","1.6","3696","0.03","1"
"beta[7]","-0.3379","-0.3374","0.0869","-0.5112 - -0.1681","0","0.0014","1.6","3752","0.01","1"
"beta[8]","-0.3015","-0.3027","0.0885","-0.4751 - -0.1304","0.001","0.0015","1.7","3537","-0.02","1"
"beta[9]","-0.0233","-0.0234","0.044","-0.1095 - 0.0632","0.303","7e-04","1.6","3915","-0.02","1"
"beta[10]","0.3088","0.3083","0.0799","0.1504 - 0.4677","1","0.0013","1.6","3750","0","1"
"beta[11]","-0.0075","-0.0079","0.0357","-0.0791 - 0.0602","0.416","6e-04","1.8","3096","0","1"
"beta[12]","0.2748","0.2727","0.1387","0 - 0.5416","0.975","0.0023","1.7","3484","-0.01","1"
"beta[13]","-0.0977","-0.0983","0.0295","-0.1576 - -0.0411","0","5e-04","1.8","3008","0","1"
"tau_ldelta","0.776","0.7841","0.0982","0.6197 - 1.0034","1","0.0028","2.8","1243","0","1"
"sigma_ldelta","1.1352","1.1358","0.0695","0.9983 - 1.2703","1","0.002","2.9","1211","0","1"
"chi","-0.0218","-0.017","0.2432","-0.4948 - 0.4755","0.464","0.0154","6.3","249","0.31","1.02"
"tau_lzeta","3.6147","3.6284","0.2835","3.1064 - 4.2192","1","0.009","3.2","997","-0.03","1.01"
"sigma_lzeta","0.526","0.5262","0.0205","0.4868 - 0.5674","1","6e-04","3.2","1006","-0.02","1.01"
"phi","0.0341","0.0343","0.0044","0.0263 - 0.0434","1","2e-04","3.5","816","0.04","1"
"lambda","0.8435","0.8428","0.0185","0.8048 - 0.8778","1","5e-04","2.9","1221","0.05","1.01"
"tau_lkappa","0.1347","0.1352","0.0136","0.1101 - 0.1629","1","5e-04","3.3","912","0.07","1.01"
"sigma_lkappa","2.7246","2.7296","0.1376","2.4773 - 3.0133","1","0.0046","3.4","877","0.08","1.01"
